ITEM: TIMESTEP 
30000
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
2 0.209198 4.48757 3.87245 89 0 
2 3.1124 4.17599 3.50755 90 0 
2 3.85345 4.46616 3.7083 91 0 
2 4.67731 4.46511 3.89602 92 0 
2 3.80369 3.78105 4.66702 93 0 
2 3.61299 4.46248 5.18638 94 0 
2 0.928381 4.5659 5.3523 95 0 
ITEM: TIMESTEP
30003
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
1 7.5628 -3.51221 2.53364 1 1 
1 7.58312 -3.84824 3.31118 2 1 
1 7.49875 -4.03037 4.19507 3 1 
1 7.00479 -4.66475 4.35364 4 1 
1 6.55653 -5.31163 4.64171 5 1 
1 6.0906 -5.7016 5.14757 6 1 
1 6.33551 -6.47023 5.45765 7 1 
1 6.37935 -7.09139 5.89865 8 1 
1 6.80818 -7.68387 6.40996 9 1 
1 7.02203 -8.19432 7.11592 10 1 
1 -6.07263 1.09731 -2.38459 11 2 
1 -6.06307 1.15736 -3.17871 12 2 
1 -5.84097 0.877872 -3.93546 13 2 
1 -6.0564 0.877312 -4.68725 14 2 
1 -5.74308 0.729335 -5.55333 15 2 
1 -5.26607 0.935967 -6.20861 16 2 
1 -4.47042 1.31617 -6.08933 17 2 
1 -4.00064 1.98582 -6.05872 18 2 
1 -3.30597 2.40142 -6.09777 19 2 
1 -3.11579 3.32168 -5.94395 20 2 
1 20.0364 7.36856 3.28972 21 3 
1 20.03 7.96278 3.91419 22 3 
1 19.9331 8.67952 4.49385 23 3 
1 19.6498 9.48048 4.87507 24 3 
1 19.4646 10.0175 5.52812 25 3 
1 18.8965 10.5845 5.79732 26 3 
1 18.2841 11.0032 6.15735 27 3 
1 17.6361 11.3649 6.7222 28 3 
1 16.9264 11.0533 6.75283 29 3 
1 16.1816 10.5673 6.95421 30 3 
1 -14.1602 0.677172 2.33643 31 4 
1 -14.4823 0.00708603 2.55158 32 4 
1 -14.9426 -0.35143 3.06188 33 4 
1 -15.3361 -0.809363 3.82246 34 4 
1 -16.1645 -0.839168 3.89752 35 4 
1 -17.003 -0.755348 3.8773 36 4 
1 -17.8234 -0.892181 3.54813 37 4 
1 -18.4827 -1.35989 3.44152 38 4 
1 -19.3402 -1.45166 3.39939 39 4 
1 -20.0649 -1.31147 3.01729 40 4 
1 8.58151 18.9362 -4.3969 41 5 
1 7.92571 18.2639 -4.53264 42 5 
1 7.27504 17.6621 -4.71002 43 5 
1 6.6394 17.1309 -4.7324 44 5 
1 6.09305 16.4732 -4.92246 45 5 
1 5.68712 15.91 -4.60646 46 5 
1 5.55881 15.1313 -4.2265 47 5 
1 5.57932 14.5657 -3.60111 48 5 
1 5.734 13.8114 -3.43328 49 5 
1 6.03512 13.1973 -2.93874 50 5 
2 0.570036 0.241126 0.513814 51 0 
2 1.0599 0.844169 0.424172 52 0 
2 4.67363 0.804065 0.2232 53 0 
2 1.67386 1.44099 0.553481 54 0 
2 2.02058 0.553639 1.11231 55 0 
2 2.32087 2.03617 0.689593 56 0 
2 0.61322 0.227951 1.5296 57 0 
2 1.34097 0.575998 1.39272 58 0 
2 4.6614 0.897792 1.0207 59 0 
2 1.64729 0.313601 2.43674 60 0 
2 4.69466 1.03641 1.73802 61 0 
